drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag,likely_therapeutic_agent,non_therapeutic_reason
Ceftazidime,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],20,40,,1,4,Schulz_2020_CritCare,5481173,no,,True,
Ceftibuten,C1C=C(N2C(S1)C(C2=O)NC(=O)C(=CCC(=O)O)C3=CSC(=N3)N)C(=O)O,3,20,,2,4,Schulz_2020_CritCare,5282242,no,,True,
Ceftizoxime,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O,40,160,,6,9,Schulz_2020_CritCare,6533629,no,,True,
Ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,15,75,,4.5,8.5,Schulz_2020_CritCare,5479530,no,,True,
Cefuroxime,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,0.5,1,,1.1,1.3,Schulz_2020_CritCare,5479529,no,,True,
Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,0.36,0.8,,7,16,Schulz_2020_CritCare,2662,no,,True,
Celiprolol,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,0.05,0.5,,3,6,Schulz_2020_CritCare,2663,no,,True,
Cerivastatin,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O,0.002,0.04,,1.5,3,Schulz_2020_CritCare,446156,no,,True,
Cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.1,0.6,2,7,10,Schulz_2020_CritCare,2678,no,,True,
Chloralhydrate,C(C(Cl)(Cl)Cl)(O)O,1.5,15,40,6,10,Schulz_2020_CritCare,2707,no,,True,
Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,0.15,0.3,,1.5,3,Schulz_2020_CritCare,2708,no,,True,
Chloramphenicol,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5,10,25,2,6,Schulz_2020_CritCare,5959,no,,True,
Chlordiazepoxide,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,0.4,3,3.5,6,27,Schulz_2020_CritCare,2712,no,,True,
Chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,5,9,20,20,30,Schulz_2020_CritCare,2717,no,,True,
Chloroform,C(Cl)(Cl)Cl,20,50,70,1.5,,Schulz_2020_CritCare,6212,no,,False,discontinued_anesthetic_or_solvent
Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,0.02,0.5,0.8,72,336,Schulz_2020_CritCare,2719,no,,True,
Chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,2,18,,0.5,2,Schulz_2020_CritCare,2720,no,,True,
Chlorphenamine (Chlorpheniramine),CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,0.01,0.02,,15,25,Schulz_2020_CritCare,2725,no,,True,
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.03,0.1,0.6,10,30,Schulz_2020_CritCare,2726,no,,True,
Chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,30,250,200,25,60,Schulz_2020_CritCare,2727,no,,True,
Chlorprothixene,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.02,0.3,0.4,8,12,Schulz_2020_CritCare,667467,no,,True,
Chlortalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,0.15,0.3,2,44,48,Schulz_2020_CritCare,2732,no,,True,
Chlortetracycline,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,1,5,30,5,6,Schulz_2020_CritCare,54675777,no,,True,
Chromium,[Cr],0.0005,0.0005,0.001,3,4,Schulz_2020_CritCare,23976,no,,False,toxic_metal
Cibenzoline,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,0.2,0.4,1,7,8,Schulz_2020_CritCare,2747,no,,True,
Cicletanine,CC1=NC=C2C(OCC2=C1O)C3=CC=C(C=C3)Cl,1,2,,5,23,Schulz_2020_CritCare,54910,no,,True,
"Ciclosporine A (Cyclosporine, CsA)",CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0.1,0.25,0.3,10,27,Schulz_2020_CritCare,5284373,no,,True,
Cidofovir,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O,7,43,,2.5,,Schulz_2020_CritCare,60613,no,,True,
Cilazapril (Cilazaprilat),CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O,0.003,0.09,,30,50,Schulz_2020_CritCare,56330,no,,True,
Cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,0.18,0.54,,12,,Schulz_2020_CritCare,2754,no,,True,
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,0.25,3,19,1.5,4,Schulz_2020_CritCare,2756,no,,True,
Cinnarizine,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,0.04,0.33,7.4,12,34,Schulz_2020_CritCare,1547484,no,,True,
Cinoxacin,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,15,15,,1.5,4,Schulz_2020_CritCare,2762,no,,True,
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2.5,4,11.5,3,6,Schulz_2020_CritCare,2764,no,,True,
Citalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.05,0.11,0.22,25,48,Schulz_2020_CritCare,2771,no,,True,
Cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,0.006,0.006,,0.1,0.2,Schulz_2020_CritCare,20279,no,,True,
Clarithromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,0.2,2,,3,7,Schulz_2020_CritCare,84029,no,,True,
Clemastine,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,0.001,0.002,,10,32,Schulz_2020_CritCare,26987,no,,True,
Clenbuterol,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,0.0003,0.0006,0.003,30,35,Schulz_2020_CritCare,2783,no,,True,
Clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,0.5,2,,2,3,Schulz_2020_CritCare,446598,no,,True,
Clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.03,0.3,0.5,18,42,Schulz_2020_CritCare,2789,no,,True,
Clobutinol,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,0.05,0.2,,23,34,Schulz_2020_CritCare,26937,no,,True,
Clodronate (Clodronic acid),C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,0.7,1,,168,192,Schulz_2020_CritCare,25419,no,,True,
Clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,50,250,,10,18,Schulz_2020_CritCare,2796,no,,True,
Clomethiazole (Chlormethiazole),CC1=C(SC=N1)CCCl,0.1,5,4,3,5,Schulz_2020_CritCare,10783,no,,True,
Clomipramine Clomipramin + N-Desmethylclomipramin,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.09,0.25,0.4,16,60,Schulz_2020_CritCare,2801,no,,True,
Clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,0.02,0.07,0.08,20,60,Schulz_2020_CritCare,2802,no,,True,
Clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,0.001,0.002,0.009,5,20,Schulz_2020_CritCare,2803,no,,True,
Clopamide,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,0.06,0.18,,6,14,Schulz_2020_CritCare,12492,no,,True,
Clopenthixol (Clopentixol),C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0.002,0.015,0.1,15,25,Schulz_2020_CritCare,12454,no,,True,
Clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,0.001,0.006,,1.5,4,Schulz_2020_CritCare,60606,no,,True,
Clotiazepam,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,0.1,0.7,,3,15,Schulz_2020_CritCare,2811,no,,True,
Cloxacillin,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,5,30,,0.5,1,Schulz_2020_CritCare,6098,no,,True,
Clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,0.35,0.6,0.6,12,16,Schulz_2020_CritCare,135398737,no,,True,
Cobalt,[Co],0.0001,0.001,0.4,2,,Schulz_2020_CritCare,104730,no,,False,toxic_metal
Cocaine,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,0.05,0.3,0.5,0.5,1,Schulz_2020_CritCare,446220,no,,True,
Codeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,0.03,0.25,0.5,3,4,Schulz_2020_CritCare,5284371,no,,True,
Colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0.0003,0.0025,0.005,11,32,Schulz_2020_CritCare,6167,no,,True,
Colistin,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,1,5,,1.5,2,Schulz_2020_CritCare,5311054,no,,True,
Copper,[Cu],0.6,1.5,0.8,26,,Schulz_2020_CritCare,23978,no,,True,
Cyclizine,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,0.1,0.25,0.75,7,24,Schulz_2020_CritCare,6726,no,,True,
Cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,2,6,10,8,17,Schulz_2020_CritCare,5838,no,,True,
Cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,0.003,0.04,0.4,18,,Schulz_2020_CritCare,2895,no,,True,
Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,10,25,,4,8,Schulz_2020_CritCare,2907,no,,True,
Cyclopropane,C1CC1,80,180,,,,Schulz_2020_CritCare,6351,no,,False,discontinued_anesthetic
Cyproterone acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,0.01,0.2,,30,40,Schulz_2020_CritCare,9880,no,,True,
Cysteamine,C(CS)N,1.55,1.55,,,,Schulz_2020_CritCare,6058,no,,True,
Cytarabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,0.05,0.5,,0.1,0.2,Schulz_2020_CritCare,6253,no,,True,
Dabigatran,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,0.04,0.2,0.2,9,14,Schulz_2020_CritCare,216210,no,,True,
Dalfampridine,C1=CN=CC=C1N,0.015,0.055,,5.8,,Schulz_2020_CritCare,1727,no,,True,
Dantrolene,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],0.4,1.5,,4,12,Schulz_2020_CritCare,6914273,no,,True,
Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl,0.006,0.285,,12.9,,Schulz_2020_CritCare,9887712,no,,True,
Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,0.5,2,10,25,31,Schulz_2020_CritCare,2955,no,,True,
Daptomycin,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,3.2,3.2,24.3,7,9,Schulz_2020_CritCare,21585658,no,,True,
Darifenacin,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5,0.0015,0.02,,16,,Schulz_2020_CritCare,444031,no,,True,
Darunavir (DRV),CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,3.3,3.3,,,,Schulz_2020_CritCare,213039,no,,True,
Deferoxamine (Desferrioxamine),CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,3,15,,4,6,Schulz_2020_CritCare,2973,no,,True,
Delorazepam,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl,0.01,0.07,,80,115,Schulz_2020_CritCare,17925,no,,True,
Demoxepam,C1C(=O)N=C2C=CC(=CC2=C(N1O)C3=CC=CC=C3)Cl,0.5,0.74,1,,,Schulz_2020_CritCare,13756,no,,True,
Desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0.01,0.5,0.3,15,25,Schulz_2020_CritCare,2995,no,,True,
Desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,0.002,0.006,0.012,17,27,Schulz_2020_CritCare,124087,no,,True,
Detajmium,CCC1C2CC3C4C5(CC(C2C5O)[N+]3(C1O)CC(CN(CC)CC)O)C6=CC=CC=C6N4C,0.01,0.7,,13,14,Schulz_2020_CritCare,118984402,no,,True,
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,0.05,0.27,0.8,2.5,9.5,Schulz_2020_CritCare,5743,no,,True,
Dexfenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,0.03,0.06,0.15,,,Schulz_2020_CritCare,66265,no,,True,
Dexketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,3.7,3.7,,0.5,2,Schulz_2020_CritCare,667550,no,,True,
Dexmethylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,0.013,0.023,0.044,,,Schulz_2020_CritCare,154101,no,,True,
Dextromethorphan,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,0.001,0.04,0.1,2,4,Schulz_2020_CritCare,5360696,no,,True,
Dextromoramide,CC(CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4,0.05,0.15,0.2,1.5,4,Schulz_2020_CritCare,92943,no,,True,
Dextropropoxyphene,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,0.05,0.3,0.6,10,30,Schulz_2020_CritCare,10100,no,,True,
Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.1,2,3,24,48,Schulz_2020_CritCare,3016,no,,True,
Diazoxide,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,10,20,50,20,36,Schulz_2020_CritCare,3019,no,,True,
Dibenzepine,CN1C2=CC=CC=C2C(=O)N(C3=CC=CC=C31)CCN(C)C,0.025,0.15,3,3.5,5,Schulz_2020_CritCare,9419,no,,True,
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.5,3,50,1,3,Schulz_2020_CritCare,3033,no,,True,
Dicoumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,8,30,22,1,4,Schulz_2020_CritCare,54676038,no,,True,
Diethylcarbamazine,CCN(CC)C(=O)N1CCN(CC1)C,0.8,1.0,,4,15,Schulz_2020_CritCare,3052,no,,True,
Diethylpentenamide (Valdetamide),CCC(C)(CC)C=CC(=O)N,2,10,20,6,7,Schulz_2020_CritCare,129632608,no,,True,
Diethylpropion,CCN(CC)C(C)C(=O)C1=CC=CC=C1,0.003,0.007,2,4,8,Schulz_2020_CritCare,7029,no,,True,
Diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,40,100,300,5,12,Schulz_2020_CritCare,3059,no,,True,
Digitoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,0.008,0.018,0.03,140,200,Schulz_2020_CritCare,441207,no,,True,
Digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,0.0005,0.0009,0.002,40,70,Schulz_2020_CritCare,2724385,no,,True,
Dihydrocodeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,0.03,0.25,0.5,3,4,Schulz_2020_CritCare,5284543,no,,True,
Dihydroergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,0.001,0.01,,4,15,Schulz_2020_CritCare,10531,no,,True,
Diltiazem,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,0.03,0.13,0.8,2,6,Schulz_2020_CritCare,39186,no,,True,
Dimethadione,CC1(C(=O)NC(=O)O1)C,700,1000,1000,5,10,Schulz_2020_CritCare,3081,no,,True,
Dimethindene,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C,0.01,0.05,,,,Schulz_2020_CritCare,21855,no,,True,
"N,N-Dimethyltryptamine",CN(C)CCC1=CNC2=CC=CC=C21,0.001,0.1,,0.5,1.5,Schulz_2020_CritCare,6089,no,,False,psychedelic_schedule_i
Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,0.05,0.1,1,3,14,Schulz_2020_CritCare,3100,no,,True,
Diphenoxylate,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,0.01,0.08,,2,3,Schulz_2020_CritCare,13505,no,,True,
Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,0.1,1.5,4,11,13,Schulz_2020_CritCare,3108,no,,True,
Disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,2,7,8,5,8,Schulz_2020_CritCare,3114,no,,True,
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.05,0.4,0.5,5,9,Schulz_2020_CritCare,3117,no,,True,
Dixyrazine,CC(CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42,0.3,0.3,,,,Schulz_2020_CritCare,17182,no,,True,
Dofetilide,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,0.002,0.0055,,9,10,Schulz_2020_CritCare,71329,no,,True,
Domperidone,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,0.01,0.1,0.2,12,16,Schulz_2020_CritCare,3151,no,,True,
Donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,0.03,0.075,0.1,70,100,Schulz_2020_CritCare,3152,no,,True,
Dothiepin (Dosulepin),CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,0.045,0.1,0.2,11,20,Schulz_2020_CritCare,3155,no,,True,
Doxacurium,C[N+]1(CCC2=CC(=C(C(=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)OC)CCCOC(=O)CCC(=O)OCCC[N+]4(CCC5=CC(=C(C(=C5C4CC6=CC(=C(C(=C6)OC)OC)OC)OC)OC)OC)C,0.01,0.3,,1,2,Schulz_2020_CritCare,60169,no,,True,
Doxapram,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,2,5,9,2.4,9.9,Schulz_2020_CritCare,3156,no,,True,
Doxazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,0.01,0.15,0.3,10,22,Schulz_2020_CritCare,3157,no,,True,
Doxepin Doxepin plus N-desmethyldoxepin,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,0.01,0.2,0.5,15,20,Schulz_2020_CritCare,3158,no,,True,
Doxorubicin (Adriamycin),CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,0.006,0.02,,20,48,Schulz_2020_CritCare,51066577,no,,True,
Doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,1,5,30,15,28,Schulz_2020_CritCare,54671203,no,,True,
Doxylamine,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,0.05,0.2,0.32,9,11,Schulz_2020_CritCare,3162,no,,True,
"Dronabinol (Delta-9-tetrahydrocannabinol, THC)",CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O,0.005,0.01,,50,100,Schulz_2020_CritCare,16078,no,,True,
Dronedarone,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,0.084,0.167,,24,30,Schulz_2020_CritCare,208898,no,,True,
Duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,0.03,0.12,0.24,9,19,Schulz_2020_CritCare,60835,no,,True,
Dutasteride,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,0.025,0.055,,672,840,Schulz_2020_CritCare,6918296,no,,True,
Dyphylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,6.5,14,40,2,,Schulz_2020_CritCare,3182,no,,True,
Ecamsule (Mexoryl SX),CC1(C2CCC1(C(=O)C2=CC3=CC=C(C=C3)C=C4C5CCC(C4=O)(C5(C)C)CS(=O)(=O)O)CS(=O)(=O)O)C,0.0005,0.012,,,,Schulz_2020_CritCare,146382,no,,False,sunscreen_topical_not_systemic
Edoxaban,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,0.02,0.1,0.15,10,14,Schulz_2020_CritCare,10280735,no,,True,
Edrophonium,CC[N+](C)(C)C1=CC(=CC=C1)O,0.15,0.2,0.15,1.3,2.4,Schulz_2020_CritCare,3202,no,,True,
Efavirenz (EFV),C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,1.0,1.0,6,40,55,Schulz_2020_CritCare,64139,no,,True,
Eletriptan,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,0.06,0.23,,3,7,Schulz_2020_CritCare,77993,no,,True,
Emetine,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,0.005,0.075,0.008,10,18,Schulz_2020_CritCare,10219,no,,True,
Empagliflozin,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl,0.03,0.36,,9,10,Schulz_2020_CritCare,11949646,no,,True,
Enalapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O,0.01,0.05,0.3,8,11,Schulz_2020_CritCare,5388962,no,,True,
Enflurane,C(C(OC(F)F)(F)F)(F)Cl,44,144,,36,,Schulz_2020_CritCare,3226,no,,True,
Enfuvirtide,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(=O)N)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC7=CC=CC=C7)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC8=CN=CN8)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C,2.6,3.4,,3,4,Schulz_2020_CritCare,16130199,no,,True,
Enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,1,4,,3,6,Schulz_2020_CritCare,3229,no,,True,
Enoximone,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,0.2,0.2,,4,7,Schulz_2020_CritCare,53708,no,,True,
Enprofylline,CCCN1C2=C(C(=O)NC1=O)NC=N2,1,5,10,,,Schulz_2020_CritCare,1676,no,,True,
Entacapone,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,0.4,1.0,2,1.5,3.5,Schulz_2020_CritCare,5281081,no,,True,
