drug_name_raw,query_name,cid,smiles,mw,logp,iupac,source
Amrinone,Amrinone,3698,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,187.20,-0.2,3-amino-5-pyridin-4-yl-1H-pyridin-2-one,pubchem_rest
Amsacrine,Amsacrine,2179,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,393.5,4,N-[4-(acridin-9-ylamino)-3-methoxyphenyl]methanesulfonamide,pubchem_rest
Anileridine,Anileridine,8944,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,352.5,3.7,ethyl 1-[2-(4-aminophenyl)ethyl]-4-phenylpiperidine-4-carboxylate,pubchem_rest
Aniline,Aniline,6115,C1=CC=C(C=C1)N,93.13,0.9,aniline,pubchem_rest
Antimony,Antimony,5354495,[Sb],121.760,,antimony,pubchem_rest
Apixaban,Apixaban,10182969,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,459.5,2.2,"1-(4-methoxyphenyl)-7-oxo-6-[4-(2-oxopiperidin-1-yl)phenyl]-4,5-dihydropyrazolo[5,4-c]pyridine-3-carboxamide",pubchem_rest
Apomorphine,Apomorphine,6005,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,267.32,2.3,"(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol",pubchem_rest
Aprindine,Aprindine,2218,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,322.5,5.2,"N'-(2,3-dihydro-1H-inden-2-yl)-N,N-diethyl-N'-phenylpropane-1,3-diamine",pubchem_rest
Aprobarbital,Aprobarbital,6464,CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,210.23,1.1,"5-propan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",pubchem_rest
Aripiprazole Aripiprazole + Dehydroaripiprazole,Aripiprazole,60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,448.4,4.6,"7-[4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy]-3,4-dihydro-1H-quinolin-2-one",pubchem_rest
Armodafinil,Armodafinil,9690109,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,273.4,1.7,2-[(R)-benzhydrylsulfinyl]acetamide,pubchem_rest
Arsenic,Arsenic,5359596,[As],74.92159,,arsenic,pubchem_rest
Articaine,Articaine,32170,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,284.38,2.8,methyl 4-methyl-3-[2-(propylamino)propanoylamino]thiophene-2-carboxylate,pubchem_rest
