drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Estazolam,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,0.055,0.2,,10,24,Schulz_2020_CritCare,3261,no,
Eszopiclone,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,0.01,0.09,0.15,4,9,Schulz_2020_CritCare,969472,no,
Etamsylate (Ethamsylate),CCNCC.C1=CC(=C(C=C1O)S(=O)(=O)O)O,15,20,,2.5,4,Schulz_2020_CritCare,17506,no,
Ethadione,CCN1C(=O)C(OC1=O)(C)C,500,1000,1000,,,Schulz_2020_CritCare,10630,no,
Ethambutol,CCC(CO)NCCNC(CC)CO,3,5,6,2.5,3.5,Schulz_2020_CritCare,14052,no,
Ethchlorvynol,CCC(C=CCl)(C#C)O,0.5,8,20,10,25,Schulz_2020_CritCare,5281077,no,
Ethinamate,C#CC1(CCCCC1)OC(=O)N,1.5,10,50,,,Schulz_2020_CritCare,3284,no,
Ethosuximide,CCC1(CC(=O)NC1=O)C,30,100,120,30,60,Schulz_2020_CritCare,3291,no,
Ethylmorphine (Dionin),CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,0.3,0.6,,2,3,Schulz_2020_CritCare,5359271,no,
Etidocaine,CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C,0.5,1.5,1.6,2,3,Schulz_2020_CritCare,37497,no,
Etilefrine,CCNCC(C1=CC(=CC=C1)O)O,0.06,0.06,,2,3.5,Schulz_2020_CritCare,3306,no,
Etizolam,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,0.008,0.018,0.03,2,3,Schulz_2020_CritCare,3307,no,
Etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,10,20,40,6,8,Schulz_2020_CritCare,3308,no,
Etomidate,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,0.1,0.5,,3.9,,Schulz_2020_CritCare,667484,no,
Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,2,6,,4,11,Schulz_2020_CritCare,36462,no,
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,1.3,3.6,,20,36,Schulz_2020_CritCare,123619,no,
Etravirine (ETR),CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N,0.275,0.275,,,,Schulz_2020_CritCare,193962,no,
Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,0.003,0.008,,28,,Schulz_2020_CritCare,6442177,no,
Ezetimibe,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,0.005,0.045,0.09,,,Schulz_2020_CritCare,150311,no,
Famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,0.02,0.2,0.42,2,4.5,Schulz_2020_CritCare,5702160,no,
Febuxostat,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,0.035,1.45,,6,7,Schulz_2020_CritCare,134018,no,
Felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,50,110,100,15,23,Schulz_2020_CritCare,3331,no,
Felbinac,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,0.4,1,,10,17,Schulz_2020_CritCare,3332,no,
Felodipine,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,0.001,0.012,0.01,22,27,Schulz_2020_CritCare,3333,no,
Fenbufen,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,-60,-60,,10,12,Schulz_2020_CritCare,3335,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Fendiline,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,0.02,0.15,,,,Schulz_2020_CritCare,3336,no,
Fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,0.04,0.3,0.5,18,25,Schulz_2020_CritCare,3337,no,
Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,5,30,60,20,22,Schulz_2020_CritCare,3339,no,
