drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Pholcodine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OCCN6CCOCC6)OC3C(C=C4)O,0.02,0.08,0.1,35,75,Schulz_2020_CritCare,5311356,no,
Physostigmine,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.04,0.06,,0.3,1.5,Schulz_2020_CritCare,5983,no,
Pimozide,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,0.015,0.02,0.02,24,55,Schulz_2020_CritCare,16362,no,
Pinazepam,C#CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.01,0.05,,16,,Schulz_2020_CritCare,40391,no,
Pindolol,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,0.02,0.15,0.7,2,5,Schulz_2020_CritCare,4828,no,
Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,0.4,2,,3,11,Schulz_2020_CritCare,4829,no,
Pipamperone,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,0.1,0.4,0.5,17,22,Schulz_2020_CritCare,4830,no,
Piperacillin,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,1,5,,1,2,Schulz_2020_CritCare,43672,no,
Piperazine,C1CNCCN1,0.02,0.1,0.5,,,Schulz_2020_CritCare,4837,no,
Pipotiazine,CN(C)S(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO,0.001,0.06,0.1,8,11,Schulz_2020_CritCare,62867,no,
Piracetam,C1CC(=O)N(C1)CC(=O)N,20,50,,4.5,7,Schulz_2020_CritCare,4843,no,
Pirenzepine,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,0.03,0.45,,8,20,Schulz_2020_CritCare,4848,no,
Piretanide,C1CCN(C1)C2=C(C(=CC(=C2)C(=O)O)S(=O)(=O)N)OC3=CC=CC=C3,0.1,1,,0.6,1.7,Schulz_2020_CritCare,4849,no,
Piritramide,C1CCN(CC1)C2(CCN(CC2)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)N,0.0035,0.014,,4,10,Schulz_2020_CritCare,9331,no,
Pirmenol,CC1CCCC(N1CCCC(C2=CC=CC=C2)(C3=CC=CC=N3)O)C,1,4,,6,18,Schulz_2020_CritCare,65502,no,
Piroxicam,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,2,6,14,30,70,Schulz_2020_CritCare,54676228,no,
Pitavastatin,C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)O)O)O)C4=CC=C(C=C4)F,0.031,0.081,,5,13,Schulz_2020_CritCare,5282452,no,
Pizotifen (Pizotyline),CN1CCC(=C2C3=C(CCC4=CC=CC=C42)SC=C3)CC1,0.007,0.009,,26,,Schulz_2020_CritCare,27400,no,
Posaconazole,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,0.5,0.7,,20,66,Schulz_2020_CritCare,468595,no,
Practolol,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O,1.5,5,,5,13,Schulz_2020_CritCare,4883,no,
Prajmalium (Prajmaline),CCC[N+]12C3CC(C(C1O)CC)C4C2CC5(C3N(C6=CC=CC=C65)C)C4O,0.06,0.44,,5,7,Schulz_2020_CritCare,76959818,no,
Pramipexole,CCCNC1CCC2=C(C1)SC(=N2)N,0.0002,0.007,0.015,8,14,Schulz_2020_CritCare,119570,no,
Pranlukast,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,0.2,1.2,,,,Schulz_2020_CritCare,4887,no,
Pravastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,0.0025,0.0063,,,,Schulz_2020_CritCare,54687,no,
Praziquantel,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,0.2,0.2,,1,2.5,Schulz_2020_CritCare,4891,no,
Prazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,0.001,0.02,0.9,2,3,Schulz_2020_CritCare,4893,no,
Prednisolone,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,0.5,1,2,2,6,Schulz_2020_CritCare,5755,no,
Pregabalin,CC(C)CC(CC(=O)O)CN,2,8,10,,,Schulz_2020_CritCare,5486971,no,
Prilocaine,CCCNC(C)C(=O)NC1=CC=CC=C1C,0.5,1.5,5,1,2,Schulz_2020_CritCare,4906,no,
Primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,0.1,0.2,,4,7,Schulz_2020_CritCare,4908,no,
Primidone,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,5,10,25,4,12,Schulz_2020_CritCare,4909,no,
Probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,20,200,,3,17,Schulz_2020_CritCare,4911,no,
Procaine,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,0.2,2.5,20,-0.5,,Schulz_2020_CritCare,4914,no,
Procainamide,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,2.5,14,8,2,5,Schulz_2020_CritCare,4913,no,
Prochlorperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,0.01,0.05,0.2,7,9,Schulz_2020_CritCare,4917,no,
Procyclidine,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,0.08,1,1,7,16,Schulz_2020_CritCare,4919,no,
Proguanil,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,0.04,0.15,,13,24,Schulz_2020_CritCare,6178111,no,
Promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,0.01,0.05,1,5,41,Schulz_2020_CritCare,4926,no,
Promethazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,0.01,0.05,0.1,5,20,Schulz_2020_CritCare,4927,no,
Propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,0.3,2,1.1,2,10,Schulz_2020_CritCare,4932,no,
Propallylonal,CC(C)C1(C(=O)NC(=O)NC1=O)CC(=C)Br,0.3,10,10,,,Schulz_2020_CritCare,11020,no,
Propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,0.002,0.05,,1,4,Schulz_2020_CritCare,4934,no,
Propiomazine,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C,0.05,0.2,,2,15,Schulz_2020_CritCare,4940,no,
Propofol,CC(C)C1=C(C(=CC=C1)C(C)C)O,1,8,,3,8,Schulz_2020_CritCare,4943,no,
Propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,0.02,0.3,1,2,6,Schulz_2020_CritCare,4946,no,
Propylene glycol,CC(CO)O,0.05,0.5,1000,2,5,Schulz_2020_CritCare,1030,no,
Propylhexedrine,CC(CC1CCCCC1)NC,0.01,0.01,0.5,1,,Schulz_2020_CritCare,7558,no,
Propyphenazone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C,1.5,12.5,,1,3,Schulz_2020_CritCare,3778,no,
Prothipendyl,CN(C)CCCN1C2=CC=CC=C2SC3=C1N=CC=C3,0.03,0.08,0.05,2,3,Schulz_2020_CritCare,14670,no,
Protriptyline,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,0.05,0.3,0.5,50,200,Schulz_2020_CritCare,4976,no,
Pseudoephedrine,CC(C(C1=CC=CC=C1)O)NC,0.5,0.8,1.6,9,16,Schulz_2020_CritCare,7028,no,
Psilocin,CN(C)CCC1=CNC2=C1C(=CC=C2)O,0.008,0.008,0.018,1.8,4.5,Schulz_2020_CritCare,4980,no,
Pyrazinamide,C1=CN=C(C=N1)C(=O)N,30,75,,9,10,Schulz_2020_CritCare,1046,no,
Pyridostigmine,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,0.05,0.2,,0.5,1.5,Schulz_2020_CritCare,4991,no,
Pyridoxine (Vitamin B ),CC1=NC=C(C(=C1O)CO)CO,0.003,0.018,,3,6,Schulz_2020_CritCare,1054,no,
Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0.1,2,,70,96,Schulz_2020_CritCare,4993,no,
Pyrithyldione,CCC1(C(=O)C=CNC1=O)CC,1,10,,11,20,Schulz_2020_CritCare,4994,no,
Quazepam,C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,0.01,0.05,,39,,Schulz_2020_CritCare,4999,no,
Quetiapine,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,0.1,0.5,1,,,Schulz_2020_CritCare,5002,no,
Quinapril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O,0.15,0.5,,2,3,Schulz_2020_CritCare,54892,no,
Quinidine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,2,5,8,4,12,Schulz_2020_CritCare,441074,no,
Quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,1,7,10,4,15,Schulz_2020_CritCare,3034034,no,
Rabeprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC,0.2,1.8,3.6,1,2,Schulz_2020_CritCare,5029,no,
Raloxifene,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,0.00067,0.0013,,15,45,Schulz_2020_CritCare,5035,yes,unit_converted:ng_per_mL_to_mg_per_L
Raltegravir (RAL),CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,0.072,0.072,,7,12,Schulz_2020_CritCare,54671008,no,
Ramipril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,0.001,0.04,0.08,1,5,Schulz_2020_CritCare,5362129,no,
Ranitidine,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,0.05,1,3,2,4,Schulz_2020_CritCare,3001055,no,
Ranolazine,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,0.37,1.1,,3,15,Schulz_2020_CritCare,56959,no,
Reboxetine,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,0.06,0.35,0.7,12,14,Schulz_2020_CritCare,127151,no,
Recainam,CC1=C(C(=CC=C1)C)NC(=O)NCCCNC(C)C,1.3,5.7,,5,7,Schulz_2020_CritCare,53084,no,
Remacemide,CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN,0.1,1,,4,,Schulz_2020_CritCare,60511,no,
Remifentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC,-0.02,-0.02,,3,10,Schulz_2020_CritCare,60815,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Remoxipride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2OC)Br)OC,2.15,2.15,,5,10,Schulz_2020_CritCare,54477,no,
Repaglinide,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,0.004,0.06,,0.5,2.5,Schulz_2020_CritCare,65981,no,
Reserpine,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,-0.0015,0.003,,1800,,Schulz_2020_CritCare,5770,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,0.45,0.9,1.8,8,10,Schulz_2020_CritCare,121892,no,
Rifabutin,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,0.05,0.15,,24,58,Schulz_2020_CritCare,135415564,no,
Rifampicin (Rifampin),CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,0.1,10,204,1,6,Schulz_2020_CritCare,135398735,no,
Rifapentine,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,4,24,,10,15,Schulz_2020_CritCare,135403821,no,
Rilmenidine,C1CC1C(C2CC2)NC3=NCCO3,0.003,0.006,,6,10,Schulz_2020_CritCare,68712,no,
Riluzole,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,0.05,0.5,,9,15,Schulz_2020_CritCare,5070,no,
Risperidone,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,0.02,0.06,0.12,2,4,Schulz_2020_CritCare,5073,no,
Ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,5,11,,3,5,Schulz_2020_CritCare,392622,no,
Rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,0.01,0.36,0.005,5,9,Schulz_2020_CritCare,9875401,no,
Rivastigmine,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,0.008,0.02,0.04,1,2,Schulz_2020_CritCare,77991,no,
Rizatriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,0.015,0.1,,2,3,Schulz_2020_CritCare,5078,no,
Rocuronium,CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C,5,10,,,,Schulz_2020_CritCare,441290,no,
Roflumilast,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,0.0013,0.0024,,10,30,Schulz_2020_CritCare,449193,no,
Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0.0004,0.006,0.012,2,10,Schulz_2020_CritCare,5095,yes,unit_converted:ng_per_mL_to_mg_per_L
Ropivacaine,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,0.4,1.8,2,2,,Schulz_2020_CritCare,175805,no,
Rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,0.1,0.3,,3,4,Schulz_2020_CritCare,77999,no,
Rosuvastatin,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,0.006,0.02,,12,32,Schulz_2020_CritCare,446157,no,
Rotigotine,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,0.0001,0.0007,0.002,5,7,Schulz_2020_CritCare,59227,yes,unit_converted:ng_per_mL_to_mg_per_L
Roxatidine,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)CO,0.1,0.8,,5,6,Schulz_2020_CritCare,91276,no,
Roxithromycin,CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,4,12,,6,15,Schulz_2020_CritCare,6915744,no,
Rufinamide,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,5,30,40,6,10,Schulz_2020_CritCare,129228,no,
Sacubitril,CCOC(=O)C(C)CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O,-3,-3,,3.9,,Schulz_2020_CritCare,9811834,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Salbutamol (Albuterol),CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,0.004,0.014,0.018,3,6,Schulz_2020_CritCare,2083,no,
Salicylamide,C1=CC=C(C(=C1)C(=O)N)O,5,40,,,,Schulz_2020_CritCare,5147,no,
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,20,200,300,3,20,Schulz_2020_CritCare,338,no,
Salvinorin A,CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C4=COC=C4)C)C(=O)OC,0.01,0.04,,40,80,Schulz_2020_CritCare,128563,no,
Saquinavir (SQV),CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,0.1,0.25,,3,7,Schulz_2020_CritCare,441243,no,
Saxagliptin,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,0.008,0.025,,2.5,,Schulz_2020_CritCare,11243969,no,
Scopolamine,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,0.0001,0.0003,,2,6,Schulz_2020_CritCare,3000322,yes,unit_converted:ng_per_mL_to_mg_per_L
Secbutabarbital,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,5,10,20,34,42,Schulz_2020_CritCare,2479,no,
Secobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,1.5,5,7,15,30,Schulz_2020_CritCare,5193,no,
Selenium,[Se],0.045,0.13,0.4,69,77,Schulz_2020_CritCare,6326970,no,
Seratrodast,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,3,25,,,,Schulz_2020_CritCare,2449,no,
Sertindole,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O,0.05,0.1,0.2,55,90,Schulz_2020_CritCare,60149,no,
Sertraline,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.01,0.15,0.29,24,28,Schulz_2020_CritCare,68617,no,
Sevoflurane,C(OC(C(F)(F)F)C(F)(F)F)F,40,80,,1.8,3.8,Schulz_2020_CritCare,5206,no,
Sibutramine,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,0.001,0.01,0.11,4,8,Schulz_2020_CritCare,5210,no,
Sildenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,0.05,0.5,1,3,5,Schulz_2020_CritCare,135398744,no,
Silver,[Ag],-0.005,-0.005,,1152,1248,Schulz_2020_CritCare,23954,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,0.003,0.006,0.01,2,4,Schulz_2020_CritCare,54454,no,
Sirolimus (Rapamycin),CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,0.005,0.015,0.015,57,63,Schulz_2020_CritCare,145684635,no,
Sisomicin,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O,0.5,10,,,,Schulz_2020_CritCare,36119,no,
Sitagliptin,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,0.05,0.38,0.72,8,14,Schulz_2020_CritCare,4369359,no,
Sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0.5,3,7.5,5,13,Schulz_2020_CritCare,5253,no,
Sparteine,C1CCN2CC3CC(C2C1)CN4C3CCCC4,0.5,1,,2.5,,Schulz_2020_CritCare,644020,no,
Spiramycin,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,0.4,3,,5,8,Schulz_2020_CritCare,5289394,no,
Spiraprilate,CC(C(=O)N1CC2(CC1C(=O)O)SCCS2)NC(CCC3=CC=CC=C3)C(=O)O,0.006,0.045,,33,41,Schulz_2020_CritCare,3033702,no,
Spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,0.05,0.25,,13,24,Schulz_2020_CritCare,5833,no,
Stiripentol,CC(C)(C)C(C=CC1=CC2=C(C=C1)OCO2)O,1,10,15,4,13,Schulz_2020_CritCare,5311454,no,
Streptomycin,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,1,5,40,2,4,Schulz_2020_CritCare,19649,no,
Strontium,[Sr],-0.075,-0.075,,30,60,Schulz_2020_CritCare,5359327,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Sufentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,2e-05,2e-05,,1.6,6.3,Schulz_2020_CritCare,41693,yes,unit_converted:ng_per_mL_to_mg_per_L
Sulbactam,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C,8,80,,1,2,Schulz_2020_CritCare,130313,no,
Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,30,60,400,9,12,Schulz_2020_CritCare,5329,no,
Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,5,30,50,4,10,Schulz_2020_CritCare,5339,no,
Sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,90,100,,5,8,Schulz_2020_CritCare,5344,no,
Sulfinpyrazone,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,6,17,,3,5,Schulz_2020_CritCare,5342,no,
Sulindac,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,1,5,10,,,Schulz_2020_CritCare,1548887,no,
Sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,0.05,0.4,1,4,14,Schulz_2020_CritCare,5355,no,
Sultiam (Sulthiame),C1CCS(=O)(=O)N(C1)C2=CC=C(C=C2)S(=O)(=O)N,0.5,12.5,12,3,30,Schulz_2020_CritCare,5356,no,
Sumatriptan,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,0.018,0.06,0.12,1,4,Schulz_2020_CritCare,5358,no,
Suramin,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C,100,100,300,44,54,Schulz_2020_CritCare,5361,no,
Tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,0.01,0.01,0.02,2,4,Schulz_2020_CritCare,1935,no,
Tacrolimus,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,0.005,0.015,0.02,9,16,Schulz_2020_CritCare,445643,no,
Tadalafil,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,0.09,0.48,0.96,16,19,Schulz_2020_CritCare,110635,no,
Talinolol,CC(C)(C)NCC(COC1=CC=C(C=C1)NC(=O)NC2CCCCC2)O,0.04,0.15,,10,14,Schulz_2020_CritCare,68770,no,
Talipexole,C=CCN1CCC2=C(CC1)SC(=N2)N,0.0001,0.001,,5,9,Schulz_2020_CritCare,5374,no,
Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,0.05,0.5,,5,7,Schulz_2020_CritCare,2733526,no,
Tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,0.003,0.022,,5,16,Schulz_2020_CritCare,129211,no,
Tapentadol,CCC(C1=CC(=CC=C1)O)C(C)CN(C)C,0.01,0.13,,3,7,Schulz_2020_CritCare,9838022,no,
Teicoplanin,CCCCCCCCCC(=O)NC1C(C(C(OC1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)C(C6C(=O)NC(C7=C(C(=CC(=C7)O)OC8C(C(C(C(O8)CO)O)O)O)C9=C(C=CC(=C9)C(C(=O)N6)NC(=O)C4NC(=O)C1C2=CC(=CC(=C2)OC2=C(C=CC(=C2)C(C(=O)NC(CC2=CC(=C(O3)C=C2)Cl)C(=O)N1)N)O)O)O)C(=O)O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)Cl)CO)O)O,15,20,200,10,15,Schulz_2020_CritCare,133065662,no,
Telmisartan,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,0.006,0.225,,21,25,Schulz_2020_CritCare,65999,no,
Temazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,0.02,0.15,1,6,25,Schulz_2020_CritCare,5391,no,
Tenoxicam,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,1.5,4,,70,90,Schulz_2020_CritCare,54677971,no,
Terazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,0.02,0.08,0.16,8,12,Schulz_2020_CritCare,5401,no,
Terbinafine,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,0.01,0.03,,20,36,Schulz_2020_CritCare,1549008,no,
Terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,0.001,0.006,,16,20,Schulz_2020_CritCare,5403,no,
Terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,0.01,0.01,0.04,15,22,Schulz_2020_CritCare,5405,no,
